,LR Fold 1,RF Fold 1,GBM Fold 1,LR Fold 2,RF Fold 2,GBM Fold 2,LR Fold 3,RF Fold 3,GBM Fold 3,LR Fold 4,RF Fold 4,GBM Fold 4,LR Fold 5,RF Fold 5,GBM Fold 5
Political Contestation,,0.41474715565325565,0.5955358111778504,,0.341332752554579,0.3094465849238218,,0.34524195755282827,0.353601672582375,,0.36092668864886834,0.4176283318308433,,0.37990102637210277,0.40294862440014095
FH_civ,,0.1449805362513828,0.048634086843638305,,0.17652668279140254,0.2287580059536297,,0.15129192591546156,0.1819994862162098,,0.164373529242797,0.2226052466051124,,0.14550454135442842,0.19112977872990988
Eligible population,,0.4402723080953616,0.3558301019785114,,0.48214056465401844,0.4617954091225485,,0.5034661165317103,0.4643988412014151,,0.4746997821083346,0.3597664215640442,,0.4745944322734688,0.40592159686994916
Year,,,,,,,,,,,,,,,
Accuracy,0.9241706161137441,0.919431279620853,0.909952606635071,0.9590163934426229,0.9426229508196722,0.9426229508196722,0.9396551724137931,0.9396551724137931,0.9396551724137931,0.9802631578947368,0.993421052631579,0.9605263157894737,0.9226519337016574,0.9558011049723757,0.9337016574585635
Precision,0.0,0.0,0.0,0.0,0.35294117647058826,0.3684210526315789,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,0.75,0.6666666666666666
Recall,0.0,0.0,0.0,0.0,0.6666666666666666,0.7777777777777778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6428571428571429,0.2857142857142857
ROC-AUC,0.8078525641025641,0.7224358974358973,0.632051282051282,0.8302600472813239,0.9489361702127659,0.941371158392435,0.8971166448230667,0.9089121887287025,0.8538663171690695,0.7897091722595079,1.0,1.0,0.9202309666381523,0.9264328485885371,0.9086826347305389
PR-AUC,0.5976606524610593,0.5976606524610593,0.5976606524610593,0.0982589507603538,0.0982589507603538,0.0982589507603538,0.24202741702741704,0.24202741702741704,0.24202741702741704,0.0419467787114846,0.0419467787114846,0.0419467787114846,0.3700327572210891,0.3700327572210891,0.3700327572210891
Train set size,466.0,466.0,466.0,677.0,677.0,677.0,921.0,921.0,921.0,1037.0,1037.0,1037.0,1189.0,1189.0,1189.0
Test set size,211.0,211.0,211.0,244.0,244.0,244.0,116.0,116.0,116.0,152.0,152.0,152.0,181.0,181.0,181.0
Train set decline share,"['False    0.94206', 'True     0.05794']","['False    0.94206', 'True     0.05794']","['False    0.94206', 'True     0.05794']","['False    0.936484', 'True     0.063516']","['False    0.936484', 'True     0.063516']","['False    0.936484', 'True     0.063516']","['False    0.94354', 'True     0.05646']","['False    0.94354', 'True     0.05646']","['False    0.94354', 'True     0.05646']","['False    0.943105', 'True     0.056895']","['False    0.943105', 'True     0.056895']","['False    0.943105', 'True     0.056895']","['False    0.947855', 'True     0.052145']","['False    0.947855', 'True     0.052145']","['False    0.947855', 'True     0.052145']"
Test set decline share,"['False    0.924171', 'True     0.075829']","['False    0.924171', 'True     0.075829']","['False    0.924171', 'True     0.075829']","['False    0.963115', 'True     0.036885']","['False    0.963115', 'True     0.036885']","['False    0.963115', 'True     0.036885']","['False    0.939655', 'True     0.060345']","['False    0.939655', 'True     0.060345']","['False    0.939655', 'True     0.060345']","['False    0.980263', 'True     0.019737']","['False    0.980263', 'True     0.019737']","['False    0.980263', 'True     0.019737']","['False    0.922652', 'True     0.077348']","['False    0.922652', 'True     0.077348']","['False    0.922652', 'True     0.077348']"
